customer_id,name,city
1,Rohit Mishra,Pune
2,Priya Bhat,Hyderabad
3,Anjali Reddy,Chennai
4,Rohit Verma,Pune
5,Kiran Yadav,Bengaluru
6,Amit Mehta,Nagpur
7,Rakesh Bhat,Kochi
8,Nitin Mishra,Jaipur
9,Arjun Singh,Surat
10,Arjun Chauhan,Nagpur
11,Pooja Chauhan,Jaipur
12,Neha Verma,Kochi
13,Suresh Kumar,Surat
14,Manoj Iyer,Surat
15,Nitin Yadav,Pune
16,Arjun Iyer,Bengaluru
17,Amit Chauhan,Kolkata
18,Sneha Yadav,Ahmedabad
19,Rakesh Kulkarni,Kolkata
20,Nitin Agarwal,Mumbai
21,Vikram Das,Hyderabad
22,Anjali Joshi,Delhi
23,Rohit Mehta,Jaipur
24,Sneha Kumar,Mumbai
25,Sneha Mishra,Delhi
26,Kavita Sharma,Chennai
27,Neha Kulkarni,Chennai
28,Deepak Yadav,Ahmedabad
29,Deepak Iyer,Bengaluru
30,Pooja Bhat,Kolkata
31,Arjun Nair,Chennai
32,Pooja Reddy,Kolkata
33,Vikram Agarwal,Kolkata
34,Neha Reddy,Mumbai
35,Suresh Chauhan,Pune
36,Arjun Bhat,Nagpur
37,Sneha Rao,Hyderabad
38,Rohit Agarwal,Kochi
39,Rakesh Das,Surat
40,Anjali Singh,Kochi
41,Kiran Sharma,Surat
42,Priya Chauhan,Ahmedabad
43,Kiran Gupta,Chennai
44,Divya Joshi,Jaipur
45,Rahul Joshi,Nagpur
46,Pooja Kulkarni,Jaipur
47,Arjun Iyer,Ahmedabad
48,Deepak Iyer,Bhopal
49,Divya Nair,Jaipur
50,Amit Singh,Kolkata
51,Deepak Das,Bengaluru
52,Priya Kulkarni,Ahmedabad
53,Kiran Chauhan,Hyderabad
54,Priya Patel,Ahmedabad
55,Rakesh Reddy,Bengaluru
56,Rahul Bhat,Hyderabad
57,Deepak Gupta,Kolkata
58,Manoj Verma,Ahmedabad
59,Kavita Patel,Chennai
60,Rakesh Mishra,Indore
61,Amit Singh,Kochi
62,Arjun Jain,Kolkata
63,Asha Kulkarni,Nagpur
64,Sneha Joshi,Lucknow
65,Anjali Das,Pune
66,Neha Yadav,Nagpur
67,Pooja Singh,Jaipur
68,Rakesh Das,Surat
69,Arjun Chauhan,Surat
70,Neha Mishra,Kolkata
71,Pooja Mehta,Chennai
72,Priya Verma,Kochi
73,Rakesh Gupta,Delhi
74,Arjun Nair,Indore
75,Rahul Jain,Jaipur
76,Manoj Mishra,Ahmedabad
77,Deepak Joshi,Delhi
78,Vikram Kumar,Pune
79,Rahul Singh,Pune
80,Kiran Rao,Ahmedabad
81,Rohit Joshi,Kochi
82,Deepak Bhat,Indore
83,Meera Kulkarni,Pune
84,Vikram Rao,Jaipur
85,Manoj Nair,Chennai
86,Pooja Das,Ahmedabad
87,Manoj Reddy,Kolkata
88,Rahul Rao,Jaipur
89,Amit Mishra,Bhopal
90,Nitin Kumar,Pune
91,Neha Rao,Delhi
92,Arjun Kumar,Lucknow
93,Rakesh Bhat,Indore
94,Priya Mehta,Lucknow
95,Rakesh Kulkarni,Lucknow
96,Meera Kulkarni,Bengaluru
97,Vikram Jain,Delhi
98,Divya Reddy,Surat
99,Kavita Kulkarni,Ahmedabad
100,Sneha Patel,Kochi
101,Amit Yadav,Hyderabad
102,Sneha Mehta,Pune
103,Kiran Chauhan,Delhi
104,Meera Patel,Delhi
105,Suresh Yadav,Kolkata
106,Suresh Sharma,Jaipur
107,Vikram Patel,Bhopal
108,Sneha Agarwal,Ahmedabad
109,Sneha Chauhan,Bengaluru
110,Nitin Kumar,Chennai
111,Suresh Gupta,Ahmedabad
112,Asha Iyer,Surat
113,Pooja Jain,Lucknow
114,Nitin Singh,Hyderabad
115,Deepak Yadav,Bengaluru
116,Nitin Yadav,Pune
117,Neha Singh,Bhopal
118,Anjali Nair,Hyderabad
119,Vikram Iyer,Delhi
120,Nitin Patel,Jaipur
121,Manoj Gupta,Bhopal
122,Anjali Nair,Bengaluru
123,Anjali Sharma,Bhopal
124,Divya Yadav,Pune
125,Divya Nair,Ahmedabad
126,Priya Reddy,Delhi
127,Neha Mishra,Pune
128,Priya Verma,Surat
129,Kavita Chauhan,Ahmedabad
130,Nitin Joshi,Lucknow
131,Manoj Nair,Kolkata
132,Nitin Verma,Lucknow
133,Divya Rao,Lucknow
134,Suresh Bhat,Jaipur
135,Rahul Mehta,Bhopal
136,Vikram Das,Bengaluru
137,Suresh Jain,Chennai
138,Manoj Joshi,Lucknow
139,Asha Singh,Kochi
140,Arjun Chauhan,Nagpur
141,Pooja Chauhan,Mumbai
142,Arjun Rao,Kolkata
143,Manoj Kumar,Pune
144,Priya Agarwal,Delhi
145,Manoj Yadav,Chennai
146,Neha Reddy,Hyderabad
147,Pooja Kumar,Lucknow
148,Neha Iyer,Hyderabad
149,Nitin Patel,Delhi
150,Rakesh Sharma,Nagpur
151,Rohit Kulkarni,Bengaluru
152,Amit Chauhan,Bengaluru
153,Kavita Bhat,Indore
154,Rakesh Rao,Ahmedabad
155,Pooja Joshi,Nagpur
156,Rohit Agarwal,Mumbai
157,Neha Verma,Hyderabad
158,Rahul Patel,Pune
159,Pooja Iyer,Lucknow
160,Amit Reddy,Pune
161,Nitin Sharma,Nagpur
162,Rakesh Patel,Indore
163,Rahul Iyer,Indore
164,Pooja Yadav,Delhi
165,Arjun Mehta,Jaipur
166,Rakesh Singh,Kochi
167,Anjali Mehta,Indore
168,Arjun Gupta,Pune
169,Rahul Singh,Surat
170,Asha Agarwal,Lucknow
171,Vikram Gupta,Indore
172,Meera Iyer,Chennai
173,Suresh Agarwal,Bengaluru
174,Sneha Mehta,Jaipur
175,Priya Joshi,Nagpur
176,Neha Mehta,Hyderabad
177,Anjali Nair,Bengaluru
178,Pooja Nair,Mumbai
179,Amit Gupta,Lucknow
180,Neha Mehta,Pune
181,Pooja Kumar,Surat
182,Anjali Jain,Bengaluru
